tekst
"Kiedy wrócił z pracy, od razu zauważył, że w domu panuje dziwna cisza."
"Pomimo burzliwej pogody, zdecydowali się wyjechać na weekend w góry."
"Jeśli będziesz systematycznie ćwiczył, wkrótce osiągniesz swoje cele sportowe."
"Choć nie miał doświadczenia, postanowił zgłosić się na ochotnika do tego projektu."
"W ogrodzie, który od lat pielęgnował jego dziadek, zakwitły rzadkie odmiany róż."
"Po całym dniu spędzonym na uczelni, usiadł w fotelu z ulubioną książką w ręku."
"Jeśli teraz nie zaczniesz oszczędzać, w przyszłości możesz tego żałować."
"Kiedy zadzwonił telefon, wszyscy spojrzeli na siebie zaskoczeni."
"Chociaż wiedział, że to ryzykowne, postanowił spróbować swoich sił w nowej branży."
Dzięki ciężkiej pracy i determinacji udało mu się zdobyć wymarzoną nagrodę.
"Jeżeli jutro będzie słonecznie, pójdziemy na długi spacer nad rzeką."
"Po zakończeniu trudnej rozmowy, czuła się jakby spadł jej kamień z serca."
"Mimo że nie znał drogi, zdecydował się wyruszyć na poszukiwanie zaginionej wioski."
"Gdybyśmy wcześniej kupili bilety, nie musielibyśmy stać w tej długiej kolejce."
"W pokoju, który oświetlała jedynie mała lampka, panowała ciepła atmosfera."
"Jeśli postaramy się bardziej, możemy osiągnąć znacznie lepsze wyniki."
"Choć nie było łatwo, podjęła decyzję o zmianie kierunku studiów."
"W lodówce, która była prawie pusta, znalazła kilka składników na prosty obiad."
"Gdyby nie jego wsparcie, prawdopodobnie nie udałoby mi się ukończyć tego projektu."
"Chociaż było późno, postanowili obejrzeć jeszcze jeden odcinek serialu."
"Na ulicy, którą codziennie przechodziła do pracy, spotkała dawno niewidzianego przyjaciela."
"Jeśli będziesz się uczyć regularnie, na pewno zdasz ten trudny egzamin."
"Pomimo zmęczenia, postanowił dokończyć raport przed północą."
"Kiedy usłyszała wiadomość, nie mogła uwierzyć własnym uszom."
"W restauracji, którą polecił jej znajomy, podawano wyjątkowo smaczne dania."
"Jeżeli nie przestanie padać, będziemy musieli odwołać wycieczkę."
